k,accuracy
1,0.5966666666666667
2,0.5066666666666667
3,0.66
4,0.6133333333333333
5,0.64
6,0.6333333333333333
7,0.6866666666666666
8,0.6866666666666666
9,0.6966666666666667
10,0.7033333333333334
11,0.7033333333333334
12,0.7166666666666667
13,0.72
14,0.7233333333333334
15,0.73
16,0.71
17,0.7233333333333334
18,0.7166666666666667
19,0.72
20,0.7233333333333334
21,0.7133333333333334
22,0.73
23,0.7233333333333334
24,0.7266666666666667
25,0.7166666666666667
26,0.7133333333333334
27,0.7133333333333334
28,0.7166666666666667
29,0.7166666666666667
30,0.7233333333333334
31,0.7166666666666667
32,0.7266666666666667
33,0.7133333333333334
34,0.7266666666666667
35,0.71
