"NPVpredVal_cutoffLIST","NPVpredVal_accuracyLIST"
-1500,0.913333333333333
-1450,0.916666666666667
-1400,0.903333333333333
-1350,0.896666666666667
-1300,0.893333333333333
-1250,0.883333333333333
-1200,0.876666666666667
-1150,0.873333333333333
-1100,0.873333333333333
-1050,0.873333333333333
-1000,0.873333333333333
-950,0.873333333333333
-900,0.863333333333333
-850,0.873333333333333
-800,0.86
-750,0.836666666666667
-700,0.833333333333333
-650,0.816666666666667
-600,0.81
-550,0.796666666666667
-500,0.786666666666667
-450,0.776666666666667
-400,0.766666666666667
-350,0.72
-300,0.713333333333333
-250,0.683333333333333
-200,0.663333333333333
-150,0.633333333333333
-100,0.616666666666667
-50,0.603333333333333
0,0.6
50,0.58
100,0.57
150,0.53
200,0.543333333333333
250,0.573333333333333
300,0.586666666666667
350,0.613333333333333
400,0.636666666666667
450,0.643333333333333
500,0.66
550,0.686666666666667
600,0.696666666666667
650,0.713333333333333
700,0.76
750,0.796666666666667
800,0.823333333333333
850,0.843333333333333
900,0.86
950,0.876666666666667
1000,0.896666666666667
1050,0.923333333333333
1100,0.926666666666667
1150,0.936666666666667
1200,0.946666666666667
1250,0.96
1300,0.96
1350,0.966666666666667
1400,0.97
1450,0.97
1500,0.97
