"predVal_cutoffLIST","predVal_accuracyLIST"
0,0.736666666666667
0.01,0.736666666666667
0.02,0.733333333333333
0.03,0.733333333333333
0.04,0.736666666666667
0.05,0.736666666666667
0.06,0.74
0.07,0.743333333333333
0.08,0.743333333333333
0.09,0.743333333333333
0.1,0.753333333333333
0.11,0.753333333333333
0.12,0.756666666666667
0.13,0.753333333333333
0.14,0.753333333333333
0.15,0.76
0.16,0.763333333333333
0.17,0.766666666666667
0.18,0.766666666666667
0.19,0.77
0.2,0.773333333333333
0.21,0.773333333333333
0.22,0.776666666666667
0.23,0.776666666666667
0.24,0.773333333333333
0.25,0.77
0.26,0.773333333333333
0.27,0.77
0.28,0.766666666666667
0.29,0.766666666666667
0.3,0.77
0.31,0.766666666666667
0.32,0.77
0.33,0.773333333333333
0.34,0.773333333333333
0.35,0.773333333333333
0.36,0.766666666666667
0.37,0.76
0.38,0.763333333333333
0.39,0.756666666666667
0.4,0.75
0.41,0.75
0.42,0.74
0.43,0.74
0.44,0.74
0.45,0.73
0.46,0.733333333333333
0.47,0.726666666666667
0.48,0.726666666666667
0.49,0.73
0.5,0.73
0.51,0.726666666666667
0.52,0.73
0.53,0.736666666666667
0.54,0.736666666666667
0.55,0.736666666666667
0.56,0.733333333333333
0.57,0.74
0.58,0.736666666666667
0.59,0.733333333333333
0.6,0.73
0.61,0.726666666666667
0.62,0.726666666666667
0.63,0.716666666666667
0.64,0.71
0.65,0.71
0.66,0.7
0.67,0.693333333333333
0.68,0.69
0.69,0.68
0.7,0.673333333333333
0.71,0.666666666666667
0.72,0.653333333333333
0.73,0.646666666666667
0.74,0.64
0.75,0.633333333333333
0.76,0.63
0.77,0.626666666666667
0.78,0.62
0.79,0.606666666666667
0.8,0.593333333333333
0.81,0.57
0.82,0.563333333333333
0.83,0.556666666666667
0.84,0.546666666666667
0.85,0.54
0.86,0.533333333333333
0.87,0.526666666666667
0.88,0.516666666666667
0.89,0.5
0.9,0.483333333333333
0.91,0.47
0.92,0.46
0.93,0.436666666666667
0.94,0.41
0.95,0.383333333333333
0.96,0.363333333333333
0.97,0.346666666666667
0.98,0.306666666666667
0.99,0.28
1,0.263333333333333
